AuthorId,PaperIds
2080775,1047104 2200312 280462 1467879
1449997,49808 68165 91303 92678 110464 136615 180935 231011 278509 284416 308173 309836 505648 521425 530917 534272 564160 615668 656215 673101 705603 708423 712114 777932 781436 846769 862109 892111 1097999 1138254 1139266 1139898 1146998 1148497 1156673 1169850 1184114 1212140 1257143 1258401 1279978 1280506 1280735 1280836 1310231 1361252 1377750 1389825 1463279 1493539 1497272 1548583 1569718 1619770 1654274 1775141 1782311 1820969 1844581 1956006 1996329 2011324 2017920 2020270 2068775 2095772 2099907 2104398 2105911 2142830 2199312 2221775 19685 294614 341631 347655 362613 367603 386399 416445 462957 593640 640020 745076 825094 854665 901232 1133014 1274537 1289494 1298837 1351112 1517321 1608550 1610730 1635899 1755607 1808375 1818632 1829174 1865740 2069163 2086480 2092083 2169229 2238546 2256027 2258855 119775 178846 377119 506329 573804 639893 783621 942094 977723 1118986 1167317 1353610 1392515 1451236 1518830 1573677 1860884 2208799 239245 200929 359251 486709 508399 621494 801692 1036947 1084010 1421643 1428408 1573557 1703897 1737646 1778740 2154495 2155392 10821 406487 557671 740570 800233 932100 987501 1257890 1346062 1378307 1469797 1481422 1512168 1783148 2217498 296180 100922 679601 1233667 1896408 1965371 2193101 373182 533284 792080 1122925 1268714 1352391 1631830 1878050 2175781 2227394 634800 889233 907858 960257 105701 228628 466488 830901 1123626 1197674 1385325 1403571 1722180 1791967 722753 1152366 499044 903714 1874320 2076475 121710 514112 56620 131780 200180 491778 817651 882996 1009518 1434269 1582153 57616 233113 279430 1108879 150678 610954 664519 769393 911506 1023448 1324722 1528971 1730862 1796006 1938822 983689 1064641 1144918 1526929 1767949 1919320 2246338 1249533 1539429 325566 836226 1311344 2117011 18780 120646 949588 1272178 2014781 2239685 140233 184116 1718292 2166429 1005650 1629445 568550 1134778 1996679 1336240 1998497 584145 949419 1314969 997095 1084472 1349016 1565222 1860361 474284 1108868 1566195 1886337 910361 249384 514773 677302 2226595 948733 1030570 1098736 809918 1037916 519686 1878055 415226 435540 2234715 4449 398755 1565250 1877715 177868 1047263 890376 1105980 1638716 1350192 581863 1266168 1726513 2141453 1926804 1484544 2104115 1589355 794032
1646608,1214962 1353294 2010045 86274 1109704 637230 937798 1276973 108069 1726576 1222335 920493 1326853 337144 2104510 452542 154185 55289
548881,859025 910089 1407349 25095 1047577 1047577 1486126 1832338 241424 1018076 1206789 1206789 1355566 1810044 1988146 1734866 936276 1583546 10951 10951 123113 1748394 550461 769886 2171448 897748 1290332 892266 1856008 402538 2145231 744232 782302 1079278 1199770 2019446 112974 1708010 267733 1025304 1335059 2228841 2228841 1797748 2071145 777515 561905 1365608 661358 1149972 1235168 1651731 1517362 1064813 1662128 308398 1717926 125040 394121 678591 561595 18338 375198 984197 2148361
1409048,774860 774860 774860 1086416 1086416 1086416 1509560 340873 340873 340873 1995531 1995531 1995531 1259500 1259500 1259500 1658596 1658596 1658596 1040223 1040223 1040223 1867262 1867262 1867262
1105949,887268 106577 470196 1765928 1772198 1112361 881854 303443 851741 1508783 326936 442334 1261968 1236126 1937779 252862 308939 554949 637053 910272 1723984 928159 1959935
286759,1736484 2135477 1482575 1804797 2063392 2035525 667657 1922137 1060946 1664197 1645200 1086880 1370811 1059519 827692 2071962 1195279 2236050 938315
950318,772812 1316908 1349883
41009,114875 2234486 644357 1474631 2080354 330114 1592115 1862142 1994425 915032 1225680 2228833 926841 261035 656419 2124527 1492021 2097253 246701 1531457 1934756 2034501 1698249 336248 643702 56140 199656 1956351 376081 1258284 637278 1375484 1398925 863425 428606 1819448 1308254 1573546 827041 1029758 2038704 1839925 1503866 253685 253685 84587 2181493 1138474 1176104 2026989 129720 1357171 2058482
55,2145125 191340 415449 529078 649131 847068 1087938 1705250 1917226 1958000 1963658 2242701 2253161 68389 360533 599636 855331 869430 889545 949475 368324 507841 1246558 1807352 2239313 538215 360278 674836 778747 283152 652442 852486 1068666 1200417 427328 1309499 569149 590824 1567825 1598529 400429 847721 1134037 462613 580095 787670 836602 842748 1503337 1639193 285210 491228 749124 1258087 2149929 153324 609556 1113127 1350211 1404308 1634096 151248 1561133 145200 293806 640178 933473 1263351 2078331 567439 1267968 1315957 1572902 2047193 82789 374924 375494 478547 1157610 1426341 1791611 2182966 327692 427091 981085 1409438 1809054 1993390 2092511 144775 766130 1006063 1208855 1224720 1384633 1389430 1905878 1909176 50011 267444 362297 443598 452096 501918 617344 633416 801725 965304 1106983 1120846 1170435 1213444 1324071 1417252 1420910 1545364 1689507 157653 251879 292208 487867 518886 545233 627473 862499 1117699 1309753 1613009 1819740 1998820 2213984 2228319 169774 563378 1303769 1369596 1394715 1598603 1647084 1709794 1971149 2139295 2161270 2248734 47028 68780 110515 136767 391076 440944 494493 671895 716659 787171 1258466 1296398 1618919 2043565 2086146 2188174 95899 108616 161497 248390 269210 311565 396571 433613 520682 533875 690310 812510 1348168 1748110 1762246 1953648 1988643 2101279 2243047 160532 418934 429669 449667 468963 500411 590988 636227 733638 816840 1124696 1166498 1218501 1318181 1464112 1490929 1691264 2148216 2188967 2235159 366499 402085 561429 600343 657724 762178 1079496 1212786 1290673 1374577 1604996 1617887 1935912 167677 313273 413987 589720 616823 919007 1647435 75169 380270 629576 745317 1040990 1268918 1306853 1373323 1390814 1488589 1629211 1892017 2001206 2071330 2139275 69178 122970 178136 185529 337774 372043 419865 787757 1051041 1131277 1321344 1457884 1470552 1692285 1779715 1792050 1964990 178422 197854 222469 341916 424703 847749 857434 1173588 1254356 1318932 1495079 138408 156007 179163 411010 441057 685489 767668 778260 1012283 1039736 1051834 1079484 1283236 1845523 2089307 2160850 2185666 2203516 102768 222631 294906 375645 443903 571156 583593 618099 645843 878611 878853 1000445 1065523 1162408 1421288 1516256 1536069 1639061 1674347 1709669 1715897 1846507 1976657 2010142 2069862 2088058 2140444 2233795 164850 258012 300323 330142 530550 569738 600193 810770 837051 861633 1003588 1044866 1114808 1130940 1182092 1232116 1236357 1247571 1291570 1425243 1501821 1562350 1704151 1754410 1874507 2006004 2014129 2054919 2061699 2219269 209987 327786 348351 607208 757830 913529 1315501 1412366 1471568 1477509 1561911 1609130 1627327 2172928 2223355 2254072 228600 295041 423069 542459 577846 838147 939887 944768 1147447 1165889 1336245 1537119 1587177 1961041 520007 1871885 1973900 2126038 19294 250051 697076 1330055 2067435 947880 1314361 1575412 1596644 2060463 224005 1111248 1226103 1842680 1058628 1473948 20444 1717868 602590 732607 849805 1743955 885156 1292671 166298 434255 683325 824805 1230662 1358761 803603 82669 129165 415677 836932 1169763 1246911 1333822 1974662 1996769 2144025 2189241 739353 1696592 1728999 605718 998325 1334565 1813933 1868160 2130152 914441 1030869 1253687 1923712 55193 479932 839470 1279252 1334503 1432571 1914211 2135162 2152937 2160386 433440 1514435 1686687 1704638 2172944 655318 844326 951610 1401976 1441833 1671418 1796849 40294 393613 707333 801400 809176 1028676 1358815 1505207 1521193 1600372 2050391 2239080 548812 596639 1480374 1503094 1619343 2133149 341809 768943 1513936 2169279 24074 42966 75356 128962 367455 666181 1038114 1127766 1235117 1311582 1487068 1645597 1767867 1805568 2097673 243218 282173 701621 742557 860343 1149308 1175552 1330500 1355338 1389913 1402396 2188615 217562 389256 782195 791391 836220 1224097 1265959 1347683 1412697 1475480 1842828 1844943 1845348 2107137 188583 601175 662811 699144 1002385 2020050 2209422 36459 109868 400432 873533 916062 991821 1153819 1234065 1406810 1740617 1978555 2052277 2116002 823685 1453295 2020967 2227977 275203 558232 753581 761011 800859 1017616 1081944 1204075 1221789 1341262 1484358 1669282 2221713 25103 747730 973193 1129545 1183554 1231449 1268197 1481605 1559958 1618867 77268 515706 744480 805860 1287246 1340284 1638417 1883848 1886009 2001305 2033860 15471 52775 85184 139335 178497 299391 312517 341776 369796 397455 417586 441364 464497 493921 640883 810900 819589 824229 869813 883792 1057692 1088098 1272277 1275261 1281589 1328475 1360578 1588620 1614166 1659666 1690254 1705023 1737538 1822770 1874629 2025947 2031585 2228219 2507 25304 138526 241121 372836 434161 493623 529900 566388 605597 649955 717808 720336 733374 794747 821861 860367 867779 898876 1034482 1058984 1294041 1338645 1368392 1493998 1507925 1605108 1637203 1665586 1693618 1768979 1782482 1912963 1930652 2069581 2100017 2169998 2170187 2187821 2232203 2238930 264821 317855 372994 391835 401485 446774 511272 651888 686632 783611 918326 1032043 1095626 1131748 1200622 1231847 1299922 1376095 1392908 1482854 1564558 1598298 1611534 1988335 322106
